episode,agent,avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count,opponent_collision_count,most_frequent_rank
61,C,-15.34,-30.62,0.17,0.34,0,0.00,100.00,Yes,329,144,1
61,A,15.83,31.60,0.15,0.29,0,0.00,100.00,Yes,0,142,1
61,B,14.14,28.23,0.15,0.29,0,0.00,100.00,Yes,121,38,2
62,C,-18.84,-37.61,0.16,0.32,0,0.00,100.00,Yes,470,19,1
62,A,-23.58,-47.06,0.13,0.26,0,0.00,100.00,Yes,239,468,2
62,B,-14.88,-29.69,0.12,0.24,0,0.00,100.00,Yes,0,449,3
63,C,-23.24,-46.39,0.16,0.32,0,0.00,100.00,Yes,332,201,1
63,A,8.13,16.23,0.14,0.29,0,0.00,100.00,Yes,0,219,1
63,B,28.24,56.36,0.13,0.26,0,0.00,100.00,Yes,0,18,3
64,C,-32.25,-64.37,0.14,0.27,0,0.00,100.00,Yes,579,44,3
64,A,-37.28,-74.40,0.13,0.26,0,0.00,100.00,Yes,0,673,1
64,B,-32.87,-65.62,0.12,0.24,0,0.00,100.00,Yes,110,629,3
65,C,-32.46,-64.80,0.14,0.28,0,0.00,100.00,Yes,256,564,2
65,A,21.33,42.57,0.13,0.26,0,0.00,100.00,Yes,0,87,3
65,B,-17.67,-35.26,0.14,0.28,0,0.00,100.00,Yes,227,477,1
66,C,-18.54,-37.01,0.15,0.30,0,0.00,100.00,Yes,471,15,1
66,A,17.93,35.79,0.14,0.28,0,0.00,100.00,Yes,0,121,1
66,B,19.44,38.79,0.13,0.26,0,0.00,100.00,Yes,0,106,3
67,C,-20.64,-41.20,0.15,0.29,0,0.00,100.00,Yes,482,25,3
67,A,27.52,54.94,0.13,0.25,0,0.00,100.00,Yes,0,25,3
67,B,30.04,59.96,0.14,0.27,0,0.00,100.00,No,0,0,2
68,C,-17.54,-35.02,0.15,0.30,0,0.00,100.00,Yes,438,134,3
68,A,24.23,48.36,0.13,0.26,0,0.00,100.00,Yes,37,21,3
68,B,18.75,37.42,0.16,0.32,0,0.00,100.00,Yes,0,113,1
69,C,-18.44,-36.81,0.16,0.33,0,0.00,100.00,Yes,444,41,1
69,A,19.13,38.18,0.13,0.26,0,0.00,100.00,Yes,0,109,3
69,B,23.24,46.39,0.14,0.27,0,0.00,100.00,Yes,0,68,2
70,C,-22.04,-43.99,0.17,0.34,0,0.00,100.00,Yes,521,0,1
70,A,-24.87,-49.64,0.14,0.28,0,0.00,100.00,Yes,0,549,2
70,B,-24.87,-49.64,0.13,0.26,0,0.00,100.00,Yes,0,549,3
71,C,-26.74,-53.38,0.16,0.32,0,0.00,100.00,Yes,538,30,1
71,A,27.02,53.94,0.13,0.26,0,0.00,100.00,Yes,0,30,3
71,B,30.04,59.96,0.14,0.28,0,0.00,100.00,No,0,0,2
72,C,-31.14,-62.16,0.15,0.29,0,0.00,100.00,Yes,561,51,1
72,A,24.93,49.75,0.13,0.26,0,0.00,100.00,Yes,0,51,1
72,B,16.64,33.21,0.13,0.26,0,0.00,100.00,Yes,134,0,2
73,C,-20.74,-41.40,0.16,0.32,0,0.00,100.00,Yes,474,34,1
73,A,-5.87,-11.72,0.14,0.27,0,0.00,100.00,Yes,297,191,2
73,B,14.33,28.61,0.13,0.26,0,0.00,100.00,Yes,0,157,3
74,C,-27.14,-54.18,0.14,0.28,0,0.00,100.00,Yes,547,25,3
74,A,27.52,54.94,0.13,0.25,0,0.00,100.00,Yes,0,25,3
74,B,30.04,59.96,0.14,0.28,0,0.00,100.00,No,0,0,2
75,C,-19.34,-38.61,0.15,0.30,0,0.00,100.00,Yes,439,55,1
75,A,-17.78,-35.48,0.12,0.25,0,0.00,100.00,Yes,0,478,2
75,B,-12.27,-24.50,0.12,0.24,0,0.00,100.00,Yes,0,423,3
76,C,-54.58,-108.93,0.11,0.21,0,0.00,100.00,Yes,0,846,3
76,A,-54.58,-108.95,0.12,0.23,0,0.00,100.00,Yes,0,846,2
76,B,30.03,59.95,0.13,0.25,0,0.00,100.00,No,0,0,1
77,C,-7.25,-14.46,0.15,0.29,0,0.00,100.00,Yes,0,373,2
77,A,-20.67,-41.25,0.15,0.30,0,0.00,100.00,Yes,134,373,1
77,B,30.03,59.95,0.13,0.26,0,0.00,100.00,No,0,0,3
78,C,-17.55,-35.02,0.15,0.30,0,0.00,100.00,Yes,476,0,1
78,A,-4.98,-9.93,0.13,0.25,0,0.00,100.00,Yes,0,350,2
78,B,-4.97,-9.92,0.12,0.24,0,0.00,100.00,Yes,0,350,3
79,C,-22.04,-44.00,0.15,0.30,0,0.00,100.00,Yes,389,132,1
79,A,-9.37,-18.71,0.14,0.27,0,0.00,100.00,Yes,0,394,1
79,B,3.83,7.64,0.13,0.25,0,0.00,100.00,Yes,0,262,3
80,C,-15.04,-30.02,0.16,0.32,0,0.00,100.00,Yes,438,13,1
80,A,-5.08,-10.13,0.13,0.27,0,0.00,100.00,Yes,180,313,2
80,B,0.03,0.05,0.12,0.24,0,0.00,100.00,Yes,0,300,3
81,C,-21.84,-43.59,0.16,0.32,0,0.00,100.00,Yes,240,279,1
81,A,-26.27,-52.44,0.13,0.27,0,0.00,100.00,Yes,260,303,1
81,B,27.63,55.16,0.13,0.26,0,0.00,100.00,Yes,0,24,3
82,C,-18.53,-37.00,0.17,0.33,0,0.00,100.00,Yes,426,60,1
82,A,-13.88,-27.70,0.13,0.26,0,0.00,100.00,Yes,0,439,2
82,B,-7.97,-15.92,0.12,0.24,0,0.00,100.00,Yes,202,379,3
83,C,-28.94,-57.76,0.16,0.32,0,0.00,100.00,Yes,495,95,1
83,A,12.72,25.39,0.12,0.25,0,0.00,100.00,Yes,78,95,3
83,B,30.04,59.95,0.13,0.26,0,0.00,100.00,No,0,0,2
84,C,-23.74,-47.38,0.17,0.34,0,0.00,100.00,Yes,398,140,1
84,A,-18.88,-37.68,0.13,0.26,0,0.00,100.00,Yes,0,489,2
84,B,-4.87,-9.73,0.12,0.24,0,0.00,100.00,Yes,0,349,3
85,C,-11.73,-23.41,0.17,0.34,0,0.00,100.00,Yes,418,0,1
85,A,3.22,6.44,0.13,0.26,0,0.00,100.00,Yes,0,268,2
85,B,3.23,6.44,0.12,0.24,0,0.00,100.00,Yes,0,268,3
86,C,-60.88,-121.51,0.11,0.22,0,0.00,100.00,Yes,0,909,3
86,A,-60.88,-121.52,0.12,0.24,0,0.00,100.00,Yes,0,909,2
86,B,30.04,59.95,0.13,0.26,0,0.00,100.00,No,0,0,1
87,C,-25.14,-50.17,0.17,0.35,0,0.00,100.00,Yes,539,13,1
87,A,-13.27,-26.49,0.13,0.26,0,0.00,100.00,Yes,0,433,2
87,B,-11.97,-23.89,0.12,0.25,0,0.00,100.00,Yes,0,420,3
