avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count
-44.37,-53.22,0.09,0.11,0,0.00,100.00,Yes,2231
-50.57,-60.67,0.10,0.12,0,0.00,100.00,Yes,2417
-47.30,-56.74,0.10,0.12,0,0.00,100.00,Yes,2319
-49.17,-58.99,0.09,0.11,0,0.00,100.00,Yes,2375
-47.71,-57.23,0.42,0.51,1426,47.55,52.45,Yes,2332
-44.80,-53.74,0.10,0.12,0,0.00,100.00,Yes,2244
-37.95,-45.53,0.12,0.15,0,0.00,100.00,Yes,2039
-52.49,-62.96,0.30,0.35,820,27.34,72.66,Yes,2475
-54.98,-65.95,0.28,0.34,678,22.61,77.39,Yes,2549
-52.70,-63.22,0.26,0.31,634,21.14,78.86,Yes,2481
-55.88,-67.04,0.09,0.11,0,0.00,100.00,Yes,2576
-38.49,-46.17,0.12,0.15,0,0.00,100.00,Yes,2055
-47.83,-57.38,0.09,0.11,0,0.00,100.00,Yes,2335
-30.01,-36.00,0.10,0.12,0,0.00,100.00,Yes,1801
-62.82,-75.36,0.11,0.13,0,0.00,100.00,Yes,2784
-49.93,-59.89,0.25,0.30,620,20.67,79.33,Yes,2398
-49.20,-59.03,0.09,0.11,0,0.00,100.00,Yes,2376
-49.38,-59.23,0.50,0.60,1952,65.09,34.91,Yes,2382
-50.90,-61.07,0.11,0.13,0,0.00,100.00,Yes,2427
-50.27,-60.30,0.11,0.13,0,0.00,100.00,Yes,2408
-47.87,-57.42,0.10,0.12,0,0.00,100.00,Yes,2336
-12.06,-14.47,0.11,0.13,0,0.00,100.00,Yes,1263
-24.21,-29.04,0.10,0.12,0,0.00,100.00,Yes,1627
-37.69,-45.21,0.11,0.13,0,0.00,100.00,Yes,2031
-44.66,-53.58,0.09,0.10,0,0.00,100.00,Yes,2240
-46.97,-56.34,0.11,0.13,0,0.00,100.00,Yes,2309
-48.80,-58.54,0.11,0.13,0,0.00,100.00,Yes,2364
-35.45,-42.53,0.11,0.13,0,0.00,100.00,Yes,1964
-26.57,-31.88,0.24,0.29,0,0.00,100.00,Yes,1699
-50.94,-61.11,0.11,0.13,0,0.00,100.00,Yes,2428
-49.23,-59.06,0.10,0.11,0,0.00,100.00,Yes,2377
-55.01,-65.98,0.65,0.78,2067,68.92,31.08,Yes,2550
-50.67,-60.79,0.12,0.14,0,0.00,100.00,Yes,2420
-32.28,-38.73,0.11,0.13,0,0.00,100.00,Yes,1869
-54.71,-65.63,0.47,0.56,1353,45.12,54.88,Yes,2541
-53.54,-64.23,0.12,0.14,0,0.00,100.00,Yes,2506
-27.27,-32.72,0.11,0.13,0,0.00,100.00,Yes,1719
-55.11,-66.11,0.32,0.39,839,27.98,72.02,Yes,2553
-56.74,-68.07,0.60,0.72,1837,61.25,38.75,Yes,2602
-26.14,-31.36,0.11,0.13,0,0.00,100.00,Yes,1685
-35.19,-42.21,0.12,0.14,0,0.00,100.00,Yes,1956
-17.83,-21.38,0.09,0.11,0,0.00,100.00,Yes,1436
-33.95,-40.73,0.12,0.15,0,0.00,100.00,Yes,1919
-24.84,-29.80,0.12,0.14,0,0.00,100.00,Yes,1646
-20.60,-24.71,0.11,0.13,0,0.00,100.00,Yes,1519
-34.08,-40.88,0.10,0.12,0,0.00,100.00,Yes,1923
-35.95,-43.13,0.11,0.13,0,0.00,100.00,Yes,1979
-20.60,-24.71,0.09,0.11,0,0.00,100.00,Yes,1519
-50.64,-60.75,0.11,0.14,0,0.00,100.00,Yes,2419
-49.51,-59.39,0.11,0.14,0,0.00,100.00,Yes,2385
-31.58,-37.89,0.11,0.13,0,0.00,100.00,Yes,1848
-48.70,-58.43,0.09,0.11,0,0.00,100.00,Yes,2361
-9.99,-11.99,0.11,0.13,0,0.00,100.00,Yes,1201
-34.48,-41.37,0.11,0.13,0,0.00,100.00,Yes,1935
-5.15,-6.18,0.11,0.14,68,2.27,97.73,Yes,1056
-37.92,-45.49,0.13,0.16,0,0.00,100.00,Yes,2038
-48.47,-58.14,0.10,0.12,0,0.00,100.00,Yes,2354
-53.67,-64.39,0.11,0.13,0,0.00,100.00,Yes,2510
-52.65,-63.15,0.49,0.58,1904,63.49,36.51,Yes,2480
-54.35,-65.20,0.43,0.51,1516,50.55,49.45,Yes,2531
-28.51,-34.20,0.12,0.15,0,0.00,100.00,Yes,1756
-1.38,-1.66,0.10,0.12,0,0.00,100.00,Yes,943
-25.85,-31.01,0.13,0.16,0,0.00,100.00,Yes,1676
-51.87,-62.23,0.11,0.13,0,0.00,100.00,Yes,2456
-26.88,-32.24,0.12,0.14,0,0.00,100.00,Yes,1707
-33.59,-40.29,0.12,0.15,0,0.00,100.00,Yes,1908
-51.64,-61.95,0.11,0.13,0,0.00,100.00,Yes,2449
-46.97,-56.34,0.10,0.12,0,0.00,100.00,Yes,2309
-20.07,-24.07,0.09,0.11,0,0.00,100.00,Yes,1503
-20.00,-23.99,0.10,0.11,0,0.00,100.00,Yes,1501
-35.69,-42.81,0.10,0.12,0,0.00,100.00,Yes,1971
-43.53,-52.22,0.10,0.13,0,0.00,100.00,Yes,2206
-20.94,-25.11,0.09,0.11,0,0.00,100.00,Yes,1529
-37.62,-45.13,0.10,0.12,0,0.00,100.00,Yes,2029
-42.22,-50.65,0.11,0.13,0,0.00,100.00,Yes,2167
-38.09,-45.69,0.10,0.12,0,0.00,100.00,Yes,2043
-26.48,-31.76,0.12,0.15,0,0.00,100.00,Yes,1695
-52.21,-62.63,0.11,0.13,0,0.00,100.00,Yes,2466
-41.53,-49.82,0.09,0.11,0,0.00,100.00,Yes,2146
-45.33,-54.38,0.10,0.13,0,0.00,100.00,Yes,2260
-52.97,-63.55,0.10,0.12,0,0.00,100.00,Yes,2489
-40.82,-48.97,0.13,0.15,0,0.00,100.00,Yes,2125
-10.06,-12.07,0.12,0.15,0,0.00,100.00,Yes,1203
-2.37,-2.85,0.09,0.10,0,0.00,100.00,Yes,973
-19.23,-23.07,0.10,0.12,0,0.00,100.00,Yes,1478
-30.74,-36.88,0.09,0.11,0,0.00,100.00,Yes,1823
-52.41,-62.87,0.11,0.14,0,0.00,100.00,Yes,2472
-33.88,-40.65,0.10,0.12,0,0.00,100.00,Yes,1917
-7.59,-9.11,0.13,0.15,0,0.00,100.00,Yes,1129
-22.63,-27.15,0.10,0.12,0,0.00,100.00,Yes,1580
-30.18,-36.20,0.10,0.12,0,0.00,100.00,Yes,1806
-40.89,-49.05,0.11,0.14,0,0.00,100.00,Yes,2127
-39.66,-47.58,0.13,0.15,0,0.00,100.00,Yes,2090
-4.35,-5.22,0.11,0.13,0,0.00,100.00,Yes,1032
-37.12,-44.53,0.10,0.12,0,0.00,100.00,Yes,2014
-20.64,-24.76,0.11,0.13,0,0.00,100.00,Yes,1520
-40.36,-48.41,0.11,0.13,0,0.00,100.00,Yes,2111
-53.41,-64.07,0.11,0.13,0,0.00,100.00,Yes,2502
-34.15,-40.97,0.11,0.13,0,0.00,100.00,Yes,1925
-21.94,-26.32,0.12,0.14,0,0.00,100.00,Yes,1559
-37.09,-44.49,0.11,0.13,0,0.00,100.00,Yes,2013
-42.69,-51.21,0.11,0.13,0,0.00,100.00,Yes,2181
-36.19,-43.41,0.10,0.12,0,0.00,100.00,Yes,1986
-10.22,-12.26,0.11,0.13,0,0.00,100.00,Yes,1208
-41.13,-49.34,0.12,0.15,0,0.00,100.00,Yes,2134
-36.92,-44.29,0.11,0.13,0,0.00,100.00,Yes,2008
-43.29,-51.94,0.12,0.14,0,0.00,100.00,Yes,2199
-45.97,-55.14,0.48,0.58,1352,45.08,54.92,Yes,2279
-20.54,-24.64,0.12,0.15,0,0.00,100.00,Yes,1517
-20.24,-24.28,0.12,0.14,0,0.00,100.00,Yes,1508
-32.75,-39.29,0.11,0.13,0,0.00,100.00,Yes,1883
-36.12,-43.33,0.10,0.13,0,0.00,100.00,Yes,1984
-35.18,-42.21,0.10,0.12,0,0.00,100.00,Yes,1956
-48.81,-58.55,0.51,0.61,2001,66.72,33.28,Yes,2365
-35.32,-42.37,0.10,0.12,0,0.00,100.00,Yes,1960
-15.30,-18.35,0.12,0.15,0,0.00,100.00,Yes,1360
-31.28,-37.52,0.07,0.09,0,0.00,100.00,Yes,1839
-27.62,-33.13,0.14,0.16,0,0.00,100.00,Yes,1729
-32.18,-38.61,0.09,0.11,0,0.00,100.00,Yes,1866
-13.99,-16.78,0.09,0.11,0,0.00,100.00,Yes,1321
-30.54,-36.64,0.10,0.12,0,0.00,100.00,Yes,1817
-36.42,-43.69,0.10,0.13,0,0.00,100.00,Yes,1993
-39.29,-47.13,0.11,0.13,0,0.00,100.00,Yes,2079
-34.42,-41.29,0.10,0.12,0,0.00,100.00,Yes,1933
