avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count
15.36,20.11,0.52,0.68,0,0.00,100.00,Yes,312
-60.62,-72.72,0.11,0.13,0,0.00,100.00,Yes,2718
-60.16,-72.16,0.11,0.13,0,0.00,100.00,Yes,2704
-48.06,-57.65,0.37,0.45,0,0.00,100.00,Yes,2342
25.64,33.80,0.51,0.67,0,0.00,100.00,Yes,93
22.06,29.90,0.51,0.69,0,0.00,100.00,Yes,154
24.90,33.27,0.52,0.70,0,0.00,100.00,Yes,104
-56.21,-67.43,0.19,0.23,0,0.00,100.00,Yes,2586
12.09,15.71,0.50,0.66,0,0.00,100.00,Yes,391
-58.35,-69.99,0.19,0.23,0,0.00,100.00,Yes,2650
8.30,10.47,0.51,0.65,0,0.00,100.00,Yes,526
19.73,26.14,0.50,0.66,0,0.00,100.00,Yes,212
-34.70,-41.62,0.51,0.61,0,0.00,100.00,Yes,1942
-58.52,-70.20,0.11,0.13,0,0.00,100.00,Yes,2655
-59.56,-71.44,0.11,0.13,0,0.00,100.00,Yes,2686
-48.36,-58.01,0.33,0.39,0,0.00,100.00,Yes,2351
20.51,27.36,0.50,0.66,0,0.00,100.00,Yes,192
-60.42,-72.48,0.12,0.15,0,0.00,100.00,Yes,2712
-60.96,-73.12,0.12,0.15,0,0.00,100.00,Yes,2728
27.73,37.30,0.51,0.69,0,0.00,100.00,Yes,47
-4.28,-5.28,0.45,0.56,0,0.00,100.00,Yes,902
19.31,25.88,0.50,0.68,0,0.00,100.00,Yes,213
-58.38,-70.03,0.19,0.23,0,0.00,100.00,Yes,2651
4.61,6.01,0.48,0.62,0,0.00,100.00,Yes,546
-47.32,-56.77,0.36,0.43,0,0.00,100.00,Yes,2320
15.81,20.78,0.49,0.64,0,0.00,100.00,Yes,299
-14.16,-16.98,0.66,0.80,0,0.00,100.00,Yes,1327
14.82,19.30,0.51,0.66,0,0.00,100.00,Yes,329
11.16,14.37,0.50,0.64,0,0.00,100.00,Yes,424
18.46,24.13,0.52,0.68,0,0.00,100.00,Yes,248
-36.34,-43.60,0.42,0.50,0,0.00,100.00,Yes,1991
-47.89,-57.45,0.36,0.43,0,0.00,100.00,Yes,2337
10.54,13.77,0.52,0.68,0,0.00,100.00,Yes,417
-59.72,-71.64,0.12,0.14,0,0.00,100.00,Yes,2691
-14.53,-17.43,0.62,0.74,0,0.00,100.00,Yes,1338
13.74,18.42,0.50,0.67,0,0.00,100.00,Yes,322
14.66,18.97,0.48,0.62,0,0.00,100.00,Yes,340
-24.95,-29.93,0.32,0.38,0,0.00,100.00,Yes,1650
-19.93,-23.91,0.64,0.76,0,0.00,100.00,Yes,1500
6.10,8.18,0.50,0.67,0,0.00,100.00,Yes,472
12.06,16.04,0.48,0.63,0,0.00,100.00,Yes,364
-33.70,-40.43,0.34,0.40,0,0.00,100.00,Yes,1912
-60.79,-72.92,0.12,0.14,0,0.00,100.00,Yes,2723
23.94,31.82,0.51,0.67,0,0.00,100.00,Yes,125
17.38,23.49,0.51,0.68,0,0.00,100.00,Yes,245
16.62,22.74,0.50,0.69,0,0.00,100.00,Yes,251
-20.99,-25.18,0.66,0.80,0,0.00,100.00,Yes,1532
13.84,18.50,0.51,0.68,0,0.00,100.00,Yes,323
-11.79,-14.53,0.46,0.56,0,0.00,100.00,Yes,1110
-61.12,-73.32,0.11,0.13,0,0.00,100.00,Yes,2733
16.42,22.15,0.48,0.65,0,0.00,100.00,Yes,265
-53.95,-64.72,0.10,0.11,0,0.00,100.00,Yes,2518
-19.73,-23.67,0.57,0.68,1079,35.98,64.02,Yes,1494
-17.83,-21.39,0.65,0.78,0,0.00,100.00,Yes,1437
-48.96,-58.73,0.35,0.42,0,0.00,100.00,Yes,2369
-58.89,-70.64,0.10,0.12,0,0.00,100.00,Yes,2666
4.23,5.56,0.52,0.68,0,0.00,100.00,Yes,540
-21.53,-25.83,0.64,0.76,0,0.00,100.00,Yes,1548
-0.75,-0.94,0.44,0.55,0,0.00,100.00,Yes,752
-59.62,-71.52,0.11,0.13,0,0.00,100.00,Yes,2688
-21.17,-25.40,0.20,0.24,0,0.00,100.00,Yes,1537
-6.07,-7.29,0.49,0.59,0,0.00,100.00,Yes,1085
-61.35,-73.60,0.17,0.20,0,0.00,100.00,Yes,2740
-59.36,-71.20,0.11,0.13,0,0.00,100.00,Yes,2680
14.33,19.52,0.50,0.68,0,0.00,100.00,Yes,297
13.94,19.13,0.50,0.68,0,0.00,100.00,Yes,298
-51.56,-61.85,0.35,0.43,0,0.00,100.00,Yes,2447
-20.30,-24.35,0.24,0.28,0,0.00,100.00,Yes,1511
-60.56,-72.64,0.11,0.13,0,0.00,100.00,Yes,2716
-49.48,-59.35,0.09,0.11,0,0.00,100.00,Yes,2384
-48.23,-57.86,0.10,0.12,0,0.00,100.00,Yes,2347
9.16,12.29,0.50,0.66,0,0.00,100.00,Yes,411
-56.79,-68.12,0.10,0.12,0,0.00,100.00,Yes,2603
3.97,5.14,0.46,0.60,0,0.00,100.00,Yes,573
-50.40,-60.47,0.19,0.23,377,12.57,87.43,Yes,2412
-61.52,-73.80,0.12,0.15,0,0.00,100.00,Yes,2745
-19.95,-24.36,0.48,0.58,0,0.00,100.00,Yes,1380
-60.35,-72.40,0.11,0.13,0,0.00,100.00,Yes,2710
-49.10,-58.90,0.11,0.13,0,0.00,100.00,Yes,2373
-22.80,-27.35,0.64,0.76,0,0.00,100.00,Yes,1586
-46.43,-55.70,0.10,0.12,0,0.00,100.00,Yes,2293
11.03,14.66,0.51,0.67,0,0.00,100.00,Yes,385
-59.52,-71.40,0.11,0.14,0,0.00,100.00,Yes,2685
-59.56,-71.44,0.11,0.13,0,0.00,100.00,Yes,2686
-52.98,-63.55,0.09,0.11,0,0.00,100.00,Yes,2489
-17.23,-21.19,0.46,0.56,0,0.00,100.00,Yes,1265
9.63,12.86,0.51,0.68,0,0.00,100.00,Yes,408
-59.35,-71.19,0.20,0.23,0,0.00,100.00,Yes,2680
16.69,22.90,0.50,0.69,0,0.00,100.00,Yes,248
5.67,7.65,0.50,0.67,0,0.00,100.00,Yes,472
-45.54,-54.63,0.35,0.42,1085,36.18,63.82,Yes,2267
-47.17,-56.58,0.11,0.13,0,0.00,100.00,Yes,2315
-62.12,-74.52,0.16,0.20,0,0.00,100.00,Yes,2763
-61.46,-73.72,0.11,0.13,0,0.00,100.00,Yes,2743
-48.73,-58.46,0.13,0.15,0,0.00,100.00,Yes,2362
14.56,20.01,0.51,0.70,0,0.00,100.00,Yes,286
-4.25,-5.63,0.49,0.64,0,0.00,100.00,Yes,702
-59.89,-71.84,0.12,0.14,0,0.00,100.00,Yes,2696
-41.87,-50.22,0.09,0.11,0,0.00,100.00,Yes,2156
-59.82,-71.76,0.10,0.13,0,0.00,100.00,Yes,2694
-60.26,-72.28,0.11,0.13,0,0.00,100.00,Yes,2707
-51.13,-61.33,0.34,0.40,0,0.00,100.00,Yes,2434
-62.79,-75.32,0.13,0.15,0,0.00,100.00,Yes,2783
-48.87,-58.62,0.11,0.13,0,0.00,100.00,Yes,2366
-42.97,-51.54,0.09,0.11,0,0.00,100.00,Yes,2189
-47.90,-57.46,0.12,0.14,0,0.00,100.00,Yes,2337
-45.53,-54.62,0.09,0.11,0,0.00,100.00,Yes,2266
-58.86,-70.60,0.10,0.12,0,0.00,100.00,Yes,2665
-55.18,-66.19,0.10,0.12,0,0.00,100.00,Yes,2555
-22.93,-27.51,0.63,0.75,0,0.00,100.00,Yes,1590
-56.72,-68.04,0.10,0.12,0,0.00,100.00,Yes,2601
-62.42,-74.88,0.15,0.18,0,0.00,100.00,Yes,2772
-23.25,-27.89,0.30,0.36,0,0.00,100.00,Yes,1599
-59.19,-71.00,0.10,0.12,0,0.00,100.00,Yes,2675
-42.87,-51.42,0.09,0.11,0,0.00,100.00,Yes,2186
-50.13,-60.14,0.11,0.13,0,0.00,100.00,Yes,2404
-46.67,-55.98,0.09,0.11,0,0.00,100.00,Yes,2300
8.59,11.76,0.48,0.65,0,0.00,100.00,Yes,399
-46.29,-55.53,0.31,0.37,0,0.00,100.00,Yes,2289
-58.32,-69.96,0.10,0.12,0,0.00,100.00,Yes,2649
